timestamp,git_hash,model_type,model_name,num_params,roc_auc,f1,accuracy,val_loss,threshold,num_epochs,batch_size,lr,step_size,gamma,weight_decay,feature_mode,max_events,n_events,seed,model_path
2026-08-05 12:11:26,230aa54,cnn_multistage_cross_attention,DualViewMultiStageCrossAttentionSparseCNN,84274,0.9346,0.9145,0.8636,0.2638,0.434,12,32,0.001,3,0.3,0.0001,sum,12000,,,saved_models/cnn_multistage_cross_attention_20260805_121126_230aa54.pt
2026-08-05 12:15:24,230aa54,cnn_3d_intersection,DualView3DIntersectionSparseCNN,45298,0.9328,0.9131,0.8661,0.2715,0.493,12,32,0.001,3,0.3,0.0001,sum,12000,,,saved_models/cnn_3d_intersection_20260805_121524_230aa54.pt
2026-08-05 12:19:14,230aa54,cnn_cross_gate,DualViewCrossGateSparseCNN,43266,0.9316,0.9114,0.8571,0.2742,0.374,12,32,0.001,3,0.3,0.0001,sum,12000,,,saved_models/cnn_cross_gate_20260805_121914_230aa54.pt
2026-08-05 12:28:15,230aa54,cnn_hybrid_transformer,DualViewHybridTransformerSparseCNN,130930,0.9297,0.9134,0.8653,0.276,0.404,12,32,0.001,3,0.3,0.0001,sum,12000,,,saved_models/cnn_hybrid_transformer_20260805_122815_230aa54.pt
2026-08-05 12:48:33,230aa54,cnn_multilayer_transformer,DualViewMultiLayerTransformerSparseCNN,134706,0.9343,0.915,0.8666,0.2688,0.448,12,32,0.001,3,0.3,0.0001,sum,12000,,,saved_models/cnn_multilayer_transformer_20260805_124833_230aa54.pt
2026-08-05 12:52:06,230aa54,cnn_zipper,DualViewZipperSparseCNN,76434,0.9264,0.9057,0.8541,0.2838,0.478,12,32,0.001,3,0.3,0.0001,sum,12000,,,saved_models/cnn_zipper_20260805_125206_230aa54.pt
2026-08-05 13:07:07,230aa54,cnn_deep_resnet_cross_attention,DualViewDeepResNetCrossAttentionSparseCNN,988626,0.9378,0.9171,0.8704,0.2585,0.409,15,32,0.001,4,0.5,0.0001,sum,12000,,,saved_models/cnn_deep_resnet_cross_attention_20260805_130707_230aa54.pt
2026-08-06 15:41:27,e1cf805,gnn_timing,TimingAwareGNN,53738,0.9396,0.9192,0.8777,0.2628,0.458,20,32,0.001,5,0.5,0.0001,timing,11694,,,saved_models/gnn_timing_20260806_154127_e1cf805.pt
2026-08-07 14:21:14,1284cf9,cnn_simplified_cross_attention_focal,SimplifiedDualViewCrossAttentionSparseCNN,31730,0.9262,0.9083,0.852,0.0308,0.374,12,32,0.001,3,0.3,0.0001,sum,11694,,,saved_models/cnn_simplified_cross_attention_focal_20260807_142114_1284cf9.pt
2026-08-07 15:59:05,manual-run,gnn_timing_v2,TimingAwareGNNV2,81674,0.9388,0.9176,0.873,0.2758,0.379,20,32,0.001,5,0.5,0.0001,timing,11694,,,saved_models/gnn_timing_v2_20260807_155905_manual-run.pt
2026-08-07 16:04:06,manual-run,gnn_timing_v2_ablated,TimingAwareGNNV2,81674,0.9375,0.9172,0.8713,0.2672,0.379,20,32,0.001,5,0.5,0.0001,timing,11694,,,saved_models/gnn_timing_v2_ablated_20260807_160406_manual-run.pt
2026-08-07 16:57:29,manual-run,gnn_timing_v3,TimingAwareGNNV2,81674,0.9329,0.9106,0.8608,0.2976,0.32,20,32,0.001,5,0.5,0.0001,timing,11925,,,saved_models/gnn_timing_v3_20260807_165729_manual-run.pt
2026-08-07 17:02:19,manual-run,gnn_timing_v3_ablated,TimingAwareGNNV2,81674,0.933,0.912,0.8616,0.2851,0.315,20,32,0.001,5,0.5,0.0001,timing,11925,,,saved_models/gnn_timing_v3_ablated_20260807_170219_manual-run.pt
2026-08-10 16:58:37,manual-run,transformer_hitset,HitSetTransformer,156927,0.9307,0.9082,0.8583,0.2853,0.374,20,16,0.001,5,0.5,0.0001,hitset,11925,,,saved_models/transformer_hitset_20260810_165837_manual-run.pt
2026-08-11 11:17:30,manual-run,transformer_hitset_aux,HitSetTransformer,156927,0.9354,0.9125,0.8667,0.2752,0.414,20,16,0.001,5,0.5,0.0001,hitset,11925,,,saved_models/transformer_hitset_aux_20260811_111730_manual-run.pt
2026-08-11 13:40:12,manual-run,gnn_timing_v1_on_v3,TimingAwareGNN,53738,0.9324,0.9131,0.8671,0.2826,0.394,20,32,0.001,5,0.5,0.0001,timing,11925,11925.0,42.0,saved_models/gnn_timing_v1_on_v3_20260811_134012_manual-run.pt
2026-08-11 14:58:03,manual-run,gnn_timing_aux,TimingAwareGNN,54939,0.9362,0.9156,0.8734,0.2764,0.409,20,32,0.001,5,0.5,0.0001,timing_aux,11925,11925,42,saved_models/gnn_timing_aux_20260811_145803_manual-run.pt
